,Symbol,BaseCode,Currency,IBGatewayName,IBGatewayIP,IBAccount_Data,Jupyter Port,IPAddress,IB Client ID,ActiveTrading,CFD_Initial,CFD_Maint,CASH_Initial,CASH_Maint,CASH_NFAMargin,ManagerPort1,ManagerPort2,ManagerPort3,ManagerPort4,IBGatewayConnection,MarketDataStream,Position,DataReady,OrderIDPrefix,LastOrderID,ParamsPath
0,AUDCAD,AUD,CAD,IBGW_1,172.50.0.30,legio5050,31370,172.50.0.50,10001,True,0.03,0.03,0.03,0.03,0.03,30100,30101,30102,30103,0,0,100000,0,5050,100000,/general/legiotrader/Models/model_export/
17,CHFJPY,CHF,JPY,IBGW_1,172.50.0.31,legio5050,31387,172.50.0.67,10018,True,0.03,0.03,0.03,0.03,0.03,30168,30169,30170,30171,0,0,100000,0,5050,100000,/general/legiotrader/Models/model_export/
29,EURAUD,EUR,AUD,IBGW_1,172.50.0.32,legio5050,31399,172.50.0.79,10030,True,0.03,0.03,0.03,0.03,0.02,30216,30217,30218,30219,0,0,100000,0,5050,100000,/general/legiotrader/Models/model_export/
4,AUDJPY,AUD,JPY,IBGW_2,172.50.0.30,legio5051,31374,172.50.0.54,10005,True,0.03,0.03,0.03,0.03,0.03,30116,30117,30118,30119,0,0,100000,0,5051,100000,/general/legiotrader/Models/model_export/
30,EURCAD,EUR,CAD,IBGW_2,172.50.0.32,legio5051,31400,172.50.0.80,10031,True,0.03,0.03,0.03,0.03,0.02,30220,30221,30222,30223,0,0,100000,0,5051,100000,/general/legiotrader/Models/model_export/
5,AUDNZD,AUD,NZD,IBGW_3,172.50.0.30,legio5052,31375,172.50.0.55,10006,True,0.03,0.03,0.03,0.03,0.03,30120,30121,30122,30123,0,0,100000,0,5052,100000,/general/legiotrader/Models/model_export/
31,EURCHF,EUR,CHF,IBGW_3,172.50.0.32,legio5052,31401,172.50.0.81,10032,True,0.03,0.03,0.03,0.03,0.02,30224,30225,30226,30227,0,0,100000,0,5052,100000,/general/legiotrader/Models/model_export/
7,AUDUSD,AUD,USD,IBGW_4,172.50.0.30,legio5053,31377,172.50.0.57,10008,True,0.03,0.03,0.03,0.03,0.03,30128,30129,30130,30131,2,1,100000,0,5053,100000,/general/legiotrader/Models/model_export/
35,EURGBP,EUR,GBP,IBGW_4,172.50.0.32,legio5053,31405,172.50.0.85,10036,True,0.07,0.05,0.03,0.03,0.02,30240,30241,30242,30243,0,0,100000,0,5053,100000,/general/legiotrader/Models/model_export/
88,USDCAD,USD,CAD,IBGW_4,172.50.0.37,legio5053,31458,172.50.0.138,10089,True,0.025,0.025,0.025,0.025,0.02,30452,30453,30454,30455,0,0,100000,0,5053,100000,/general/legiotrader/Models/model_export/
